Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**08** ^Yellow^,**@MikeMahoney218** ^Mike Mahoney^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeMahoney218_08.jpg),[tweet](https://twitter.com/MikeMahoney218/status/1325440688255766530) ,USA,Syracuse,,,QGIS
**06** ^Red^,**@samwise_v** ^Sam J^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/samwise_v_06.jpg),[tweet](https://twitter.com/samwise_v/status/1324690307812937735) ,UK,London,,,
**30** ^A map^,**@odilon72** ^Agnès Stienne^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/odilon72_30.jpg),[tweet](https://twitter.com/odilon72/status/1333332838901567488) ,World,,,uncommon projections,
**02** ^Lines^,**@ShijiaWendy** ^Wendy Shijia^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ShijiaWendy_02.jpg),[tweet](https://twitter.com/ShijiaWendy/status/1329384871882489857) ,,,,,
**07** ^Green^,**@Yakus** ^Matt Travis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yakus_07.jpg),[tweet](https://twitter.com/Yakus/status/1325120893694185480) ,UK,,,,QGIS
**21** ^Water^,**@Thoughtfulnz** ^David Hood^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Thoughtfulnz_21.png),[tweet](https://twitter.com/Thoughtfulnz/status/1330069742099554304) ,Oceania,,administrative boundaries,,
**30** ^A map^,**@pheebely** ^Phoebe L.^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pheebely_30.jpg),[tweet](https://twitter.com/pheebely/status/1333641459124346880) ,World,,,uncommon projections,QGIS
**04** ^Hexagons^,**@nwbort** ^Nick Twort^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/nwbort_04.jpg),[tweet](https://twitter.com/nwbort/status/1323750863974789120) [web](https://cardioid.co.nz/30dmc/04/),Australia,Sydney,entertainment,,"R, Leaflet"
**05** ^Blue^,**@Zelbe04** ^Zelbé Boshoff^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Zelbe04_05.jpg),[tweet](https://twitter.com/Zelbe04/status/1324257068749119488) ,World,,flags,,
**11** ^3D^,**@zinnie__A** ^Zainab Adamu^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/zinnie__A_11.jpg),[tweet](https://twitter.com/zinnie__A/status/1326587944430415874) ,Nigeria,Calabar,tourism,,QGIS
**15** ^Connections^,**@Kenneth_KHW** ^Kenneth Wong^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Kenneth_KHW_15.jpg),[tweet](https://twitter.com/Kenneth_KHW/status/1328058338182008833) ,,,,,"R, ArcGIS"
**20** ^Population^,**@kennethfield** ^Kenneth Field^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kennethfield_20.jpg),[tweet](https://twitter.com/kennethfield/status/1329696229337358336) ,,,,,
**20** ^Population^,**@pheebely** ^Phoebe L.^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pheebely_20.jpg),[tweet](https://twitter.com/pheebely/status/1330050061544415232) ,,,,,QGIS
**28** ^Non-geographic^,**@azolnai** ^Andrew Zolnai^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/azolnai_28.jpg),[tweet](https://twitter.com/azolnai/status/1332670729893130240) ,,,,,
**19** ^NULL^,**@burdGIS** ^Oliver Burdekin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/burdGIS_19.jpg),[tweet](https://twitter.com/burdGIS/status/1329401203906801665) ,,,,,QGIS
**20** ^Population^,**@chartbearx** ^ChartBear^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/chartbearx_20.jpg),[tweet](https://twitter.com/chartbearx/status/1329716926831071239) ,,,,,Python
**25** ^COVID-19^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_25.jpg),[tweet](https://twitter.com/darwinanddavis/status/1331886065334927360) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-25-covid19),World,,COVID-19,interactive,"R, Leaflet"
**01** ^Points^,**@pokateo_** ^Kate Berg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pokateo__01.jpg),[tweet](https://twitter.com/pokateo_/status/1322932159452225536) ,,,,,ArcGIS
**12** ^Non-GIS^,**@SannaJokela1** ^Sanna Jokela^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/SannaJokela1_12.jpg),[tweet](https://twitter.com/SannaJokela1/status/1326771958931918853) ,,,,,
**02** ^Lines^,**@EnriquePablito** ^Quique Montiel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/EnriquePablito_02.jpg),[tweet](https://twitter.com/EnriquePablito/status/1323847918969933826) ,,,,,QGIS
**30** ^A map^,**@_DataLoy** ^DataLoy^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_DataLoy_30.jpg),[tweet](https://twitter.com/_DataLoy/status/1327310073316610050) ,Egypt,,,,
**10** ^Grid^,**@geologyjesse** ^Jesse Pisel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geologyjesse_10.jpg),[tweet](https://twitter.com/geologyjesse/status/1326191888156688385) ,,,,,
**04** ^Hexagons^,**@erin_caughey** ^Erin Caughey^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/erin_caughey_04.jpg),[tweet](https://twitter.com/erin_caughey/status/1326281502771048454) ,,,,,
**14** ^Climate change^,**@DVDMaps** ^David McCutcheon^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DVDMaps_14.jpg),[tweet](https://twitter.com/DVDMaps/status/1327556858882760704) ,Antarctica,,,,
**05** ^Blue^,**@geokaramanis** ^Georgios Karamanis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geokaramanis_05.jpg),[tweet](https://twitter.com/geokaramanis/status/1324727048510865414) ,,,,,R
**30** ^A map^,**@hurricanevicky** ^Vicky Johnson-Dahl^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/hurricanevicky_30.jpg),[tweet](https://twitter.com/hurricanevicky/status/1333574101223477249) ,,,,,
**19** ^NULL^,**@Yakus** ^Matt Travis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yakus_19.jpg),[tweet](https://twitter.com/Yakus/status/1329484837972013059) ,Europe,,,,
**07** ^Green^,**@BlandfordBread** ^Blandford Bread^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BlandfordBread_07.png),[tweet](https://twitter.com/BlandfordBread/status/1324981495493255168) ,,,,,"QGIS, ArcGIS"
**15** ^Connections^,**@SannaJokela1** ^Sanna Jokela^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/SannaJokela1_15.jpg),[tweet](https://twitter.com/SannaJokela1/status/1327900821686792192) ,,,,,QGIS
**25** ^COVID-19^,**@est987** ^Eliav S-T^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/est987_25.jpg),[tweet](https://twitter.com/est987/status/1331673040174903298) ,,,,,
**30** ^A map^,**@MaelleAMM** ^maelle am^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MaelleAMM_30.jpg),[tweet](https://twitter.com/MaelleAMM/status/1333476646561701903) ,Europe,,,,
**01** ^Points^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_01.jpg),[tweet](https://twitter.com/darwinanddavis/status/1323216612615286785) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-1-points),World,,personal,interactive,"R, Mapbox"
**12** ^Non-GIS^,**@x_y_es** ^X-Y.es^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/x_y_es_12.jpg),[tweet](https://twitter.com/x_y_es/status/1326998131683303426) ,Spain,Canary Islands,,,
**07** ^Green^,**@tjukanov** ^Topi Tjukanov^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tjukanov_07.jpg),[tweet](https://twitter.com/tjukanov/status/1324993994800050176) ,World,,,,
**10** ^Grid^,**@MapsByAntonia** ^Antonia Blankenberg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MapsByAntonia_10.jpg),[tweet](https://twitter.com/MapsByAntonia/status/1326110109865566209) ,,,,,
**06** ^Red^,**@JulesGrandin** ^Jules Grandin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulesGrandin_06.jpg),[tweet](https://twitter.com/JulesGrandin/status/1324648971709616129) ,,,,,
**30** ^A map^,**@1cartogRaph** ^Raphaël Bz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/1cartogRaph_30.jpg),[tweet](https://twitter.com/1cartogRaph/status/1333523972219166722) ,Europe,,beer,,QGIS
**21** ^Water^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_21.jpg),[tweet](https://twitter.com/vlckel/status/1330251678889676801) ,,,,,
**22** ^Movement^,**@fleischkas** ^Isaak^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/fleischkas_22.jpg),[tweet](https://twitter.com/fleischkas/status/1330565008762281985) ,,,,,
**07** ^Green^,**@BellMenna** ^Menna Bell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BellMenna_07.jpg),[tweet](https://twitter.com/BellMenna/status/1325270911604432896) ,,,,,QGIS
**19** ^NULL^,**@richard_vogg** ^Richard Vogg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/richard_vogg_19.png),[tweet](https://twitter.com/richard_vogg/status/1329387874320519169) ,Germany,,,,R
**15** ^Connections^,**@AndrewRenninger** ^Andrew Renninger^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/AndrewRenninger_15.jpg),[tweet](https://twitter.com/AndrewRenninger/status/1327983825851461633) ,,,,,
**24** ^Elevation^,**@my_physical** ^MyPhysicalWorld^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/my_physical_24.jpg),[tweet](https://twitter.com/my_physical/status/1331215861793894402) ,,,,,
**02** ^Lines^,**@caitlanryan** ^Caitlan Dowling^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/caitlanryan_02.jpg),[tweet](https://twitter.com/caitlanryan/status/1328033837624946688) ,USA,,,,
**29** ^Globe^,**@gis3700** ^Vicky Verscheijden^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/gis3700_29.jpg),[tweet](https://twitter.com/gis3700/status/1332968727478996994) ,,,,,
**28** ^Non-geographic^,**@IKEDA_02** ^I.K.D^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/IKEDA_02_28.jpg),[tweet](https://twitter.com/IKEDA_02/status/1332673879517450241) ,,,,,
**14** ^Climate change^,**@MrNSheehan** ^Nathanael Sheehan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MrNSheehan_14.jpg),[tweet](https://twitter.com/MrNSheehan/status/1327673972356485120) ,,,,,
**21** ^Water^,**@my_physical** ^MyPhysicalWorld^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/my_physical_21.jpg),[tweet](https://twitter.com/my_physical/status/1330154664491442183) ,,,,,
**02** ^Lines^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_02.jpg),[tweet](https://twitter.com/vlckel/status/1323183272218812416) ,,,,,
**16** ^Islands^,**@geocarta** ^SIG & Geomatique^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geocarta_16.jpg),[tweet](https://twitter.com/geocarta/status/1328428122769911812) ,,,,,
**07** ^Green^,**@azzadv** ^Azzadv Sawungrana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/azzadv_07.jpg),[tweet](https://twitter.com/azzadv/status/1325102836053520384) ,,,,,
